Trial,LeafByte,ID,Nest,Date,StartTime,EndTime,Time(min),Genus,Sp,Treatment,TotalArea,AreaConsumed1,AreaFinal,ConsumedFinal,Notes
1,1,19,Gym,14/07/22,16.3,18.15,115,cost,scaber,UU,148.662,1.328,91.553,0.0025,
1,1,19,Gym,14/07/22,16.3,18.15,115,cost,scaber,UR,103.106,0.099,92.729,0.134,
1,1,19,Gym,14/07/22,16.3,18.15,115,cost,scaber,RR,48.847,0.025,43.104,0.002,
1,1,19,Gym,14/07/22,16.3,18.15,115,cost,scaber,RU,83.677,0.002,31.137,0.002,
2,2,16,Gym,14/07/22,16.3,18.15,115,heli,scaber,UU,154.825,0.002,140.391,0.106,
2,2,16,Gym,14/07/22,16.3,18.15,115,heli,scaber,UR,175.339,0.004,164.473,0.011,
2,2,16,Gym,14/07/22,16.3,18.15,115,heli,scaber,RR,95.767,0.135,95.799,0.001,
2,2,16,Gym,14/07/22,16.3,18.15,115,heli,scaber,RU,155.097,0.321,127.64,0.588,
3,5,A,Gym,16/07/22,1.5,2.5,60,cost,scaber,UU,64.252,0,36.508,0,
3,5,A,Gym,16/07/22,1.5,2.5,60,cost,scaber,UR,64.2,0.001,47.698,0,
3,5,A,Gym,16/07/22,1.5,2.5,60,cost,scaber,RR,57.133,0.026,29.881,0,
3,5,A,Gym,16/07/22,1.5,2.5,60,cost,scaber,RU,44.578,0,2.166,0,
4,6,A,Gym,16/07/22,2.5,3.5,60,cost,scaber,UU,65.276,0,49.099,0,Rained
4,6,A,Gym,16/07/22,2.5,3.5,60,cost,scaber,UR,80.72,0,70.292,0.16,Rained
4,6,A,Gym,16/07/22,2.5,3.5,60,cost,scaber,RR,39.12,0.001,37.005,0.004,Rained
4,6,A,Gym,16/07/22,2.5,3.5,60,cost,scaber,RU,38.553,0.002,17.406,0,Rained
5,7,40,Gym,19/07/22,10.2,11.2,60,cost,scaber,UU,134.055,0,68.431,0,
5,7,40,Gym,19/07/22,10.2,11.2,60,cost,scaber,UR,123.894,0,117.654,0,
5,7,40,Gym,19/07/22,10.2,11.2,60,cost,scaber,RR,22.167,0,28.48,0.131,
5,7,40,Gym,19/07/22,10.2,11.2,60,cost,scaber,RU,28.48,0.131,10.938,0,
6,8,40,Gym,20/07/22,2.2,3.2,60,cost,scaber,UU,115.035,0,112,0,
6,8,40,Gym,20/07/22,2.2,3.2,60,cost,scaber,UR,103.532,0,102.532,0,
6,8,40,Gym,20/07/22,2.2,3.2,60,cost,scaber,RR,65.443,0.028,65.443,0.028,
6,8,40,Gym,20/07/22,2.2,3.2,60,cost,scaber,RU,79.063,0.002,23,0,
7,9,40,Power,20/07/22,10.36,11.36,60,cost,scaber,UU,87.282,0.074,17.106,0,
7,9,40,Power,20/07/22,10.36,11.36,60,cost,scaber,UR,100.272,0.007,100.272,0.007,
7,9,40,Power,20/07/22,10.36,11.36,60,cost,scaber,RR,38.01,0,38.01,0,
7,9,40,Power,20/07/22,10.36,11.36,60,cost,scaber,RU,45,0,39.563,0,
8,10,40,Power,20/07/22,2.35,3.35,60,cost,scaber,UU,95.194,0,91.968,0.006,
8,10,40,Power,20/07/22,2.35,3.35,60,cost,scaber,UR,107.743,0.024,104.431,0,
8,10,40,Power,20/07/22,2.35,3.35,60,cost,scaber,RR,60.47,0.009,60.47,0.009,
8,10,40,Power,20/07/22,2.35,3.35,60,cost,scaber,RU,62.315,0.001,62.315,0.001,
9,10,66,Power,22/07/22,2.35,3.35,60,cost,scaber,UU,113.162,0.619,101.06,0,
9,10,66,Power,22/07/22,2.35,3.35,60,cost,scaber,UR,80.815,0.014,80.815,0.014,
9,10,66,Power,22/07/22,2.35,3.35,60,cost,scaber,RR,49,0,49,0,
9,10,66,Power,22/07/22,2.35,3.35,60,cost,scaber,RU,27.433,0,27.433,0,
10,11,66,Gym,22/07/22,2.22,3.22,60,cost,scaber,RU,113.203,0,105.797,0,
10,11,66,Gym,22/07/22,2.22,3.22,60,cost,scaber,UU,88.506,0.015,88.506,0.015,
10,11,66,Gym,22/07/22,2.22,3.22,60,cost,scaber,UR,45.379,0,45.379,0,
10,11,66,Gym,22/07/22,2.22,3.22,60,cost,scaber,RR,61.933,0.048,34.635,0.048,
11,11,,Gym,24/07/22,11.33,12.33,60,cost,scaber,UU,86.824,0,83.799,0,
11,11,,Gym,24/07/22,11.33,12.33,60,cost,scaber,UR,71.316,0.12,71.316,0.12,
11,11,,Gym,24/07/22,11.33,12.33,60,cost,scaber,RR,41.636,0,41.36,0,
11,11,,Gym,24/07/22,11.33,12.33,60,cost,scaber,RU,25,0,14.197,0,
12,12,,Power,24/07/22,11.33,12.33,60,cost,scaber,UU,52.46,0,46.729,0,
12,,,Power,24/07/22,11.33,12.33,60,cost,scaber,UR,95.511,0,95.511,0,
12,,,Power,24/07/22,11.33,12.33,60,cost,scaber,RR,42.543,0,42.543,0,
12,,,Power,24/07/22,11.33,12.33,60,cost,scaber,RU,23.195,0,23.195,0,
13,,,Gym,24/07/22,3.3,4.3,60,rena,gig,UU,119.953,0,110.845,0,
13,,,Gym,24/07/22,3.3,4.3,60,rena,gig,UR,129.432,0,129.953,0,
13,,,Gym,24/07/22,3.3,4.3,60,rena,gig,RR,90.76,0,90.76,0,
13,,,Gym,24/07/22,3.3,4.3,60,rena,gig,RU,63.413,0,70.789,0,
